DI	AFF	INST	TI	NAT
10.1002/ecs2.2485	{Chile}	{ Pontificia Univ Catolica Valparaiso, Inst Biol, Valparaiso, Chile;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Fdn Ctr Ios Bosques Nativos FORECOS, Valdivia, Chile;  Inst Forestal INFOR, Minist Agr, Valdivia, Chile}	The cascade impacts of climate change could threaten key ecological interactions	5
10.1016/j.dendro.2018.10.004	{Italy, Chile, Uruguay}	{ Univ Republ, CENUR Litoral Norte, Paysandu 60000, Uruguay;  Univ Padua, Dip TeSAF, I-35020 Legnaro, PD, Italy;  Univ Republ, Ctr Univ Rivera, Paysandu, Uruguay;  Univ Republica, Fac Ciencias, Montevideo, Uruguay;  Pontificia Univ Catolica Valparaiso, Inst Geog, Valparaiso, Chile}	Effect of climate on tree growth in the Pampa biome of Southeastern South America: First tree-ring chronologies from Uruguay	1
10.1111/fwb.13182	{Germany, Chile}	{ Leibniz Inst Freshwater Ecol & Inland Fisheries, Dept Expt Limnol, Stechlin, Germany;  Univ Magallanes, Dept Sci & Nat Resources, Punta Arenas, Chile;  Univ Chile, CR2, Santiago, Chile;  Leibniz Inst Freshwater Ecol & Inland Fisheries, Dept Chem Analyt & Biogeochem, Berlin, Germany}	Assessment of methane and carbon dioxide emissions in two sub-basins of a small acidic bog lake artificially divided 30 years ago	2
10.1525/elementa.329	{Chile', Chile}	{' Ctr Climate & Resilience Res, CR2, FONDAP15110009, Santiago, Chile;  Pontificia Univ Catolica Chile, Dept Ecosistemas & Medioambiente, Santiago, Chile;  Univ Chile, Dept Ciencias Ambientales & Recursos Nat Renovabl, Santiago, Chile;  Univ Austral Chile, Inst Hist & Ciencias Sociales, Valdivia, Chile;  Univ Chile, Fac Derecho, Ctr Derecho Ambiental, Santiago, Chile;  Univ Austral Chile, Inst Econ Agr, Valdivia, Chile;  Univ Adolfo Ibanez, Fac Ingn & Ciencias, Santiago, Chile;  Univ Chile, Dept Antropol, Santiago, Chile;  Pontificia Univ Catolica Chile, Millennium Nucleus Ctr Socioecon Impact Environm, Santiago, Chile;  Programa Reducc Riesgos & Desastres CITRID, Santiago, Chile;  Ctr Invest Dinam Ecosistemas Marinos Atlas Latitu, IDEAL, FONDAP154150003, Santiago, Chile;  Univ Chile, Dept Geofis, Santiago, Chile'}	Climate change governance in the anthropocene: emergence of polycentrism in Chile	11
10.1098/rstb.2017.0300	{England, Chile, MD USA, Peru, MD 20742 USA, Spain}	{ Univ Valencia, GCU IPL, Catedrat Jose Beltran 2, Valencia 46980, Spain;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservacio Biodiversidad & Terr, Casilla 567, Valdivia, Chile;  Ctr Climate & Resilience Res, Blanco Encalada 2002,Piso 4, Santiago, Chile;  Pontificia Univ Catolica Valparaiso, Inst Geog, Ave Brasil 2241, Valparaiso 2362807, Chile;  Univ Aysen, Coyhaique 5950000, Chile;  SENHAMI, Jr Cahuide 785, Lima 15072, Peru;  Univ Maryland, Dept Geog Sci, College Pk, MD 20742 USA;  NASA, Goddard Space Flight Ctr, Terr Informat Syst Lab Code 619, Greenbelt, MD USA;  Univ Oxford, Ctr Environm, Environm Change Inst, South Parks Rd, Oxford OX1 3QY, England}	Spatio-temporal patterns of thermal anomalies and drought over tropical forests driven by recent extreme climatic anomalies	4
10.1016/j.atmosres.2018.05.011	{Germany, Colombia, Chile}	{ Technol Arts Sci TH Koln, Inst Technol & Resources Management Trop & Subtro, Cologne, Germany;  Univ La Frontera, Dept Civil Engn, Temuco, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Pontificia Univ Javeriana, Bogota, Colombia;  TU Dortmund Univ, Fac Spatial Planning, Dortmund, Germany}	Temporal and spatial evaluation of satellite rainfall estimates over different regions in Latin-America	2
10.5194/hess-22-5817-2018	{Switzerland, CA USA, England, Chile}	{ Ctr Climate & Resilience Res CR2, Santiago, Chile;  Univ Austral Chile, Inst Conservac Biodiversidad & Terr, Valdivia, Chile;  Univ Chile, Dept Civil Engn, Santiago, Chile;  Univ Chile, Adv Min Technol Ctr, Santiago, Chile;  Univ Chile, Dept Geophys, Santiago, Chile;  Univ East Anglia, Sch Environm Sci, Climat Res Unit, Norwich, Norfolk, England;  Univ Chile, Fac Agron Sci, Santiago, Chile;  Univ La Frontera, Fac Engn & Sci, Dept Civil Engn, Temuco, Chile;  Univ Calif Los Angeles, Dept Civil & Environm Engn, Los Angeles, CA USA;  Swiss Fed Inst Technol, Lab Hydraul Hydrol & Glaciol VAW, Zurich, Switzerland;  Swiss Fed Inst Forest Snow & Landscape Res WSL, Birmensdorf, Switzerland}	The CAMELS-CL dataset: catchment attributes and meteorology for large sample studies - Chile dataset	7
10.1111/jbi.13428	{CO 80526 USA, Chile, CO 80523 USA}	{ US Geol Survey, Ft Collins Sci Ctr, Ft Collins, CO 80526 USA;  Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Inst Conservac Biodiversidad & Terr, Lab Ecol Bosques, Valdivia, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile;  Colorado State Univ, Dept Anthropol, Ft Collins, CO 80523 USA}	Burn severity controls on postfire Araucaria-Nothofagus regeneration in the Andean Cordillera	2
10.1016/j.syapm.2018.05.006	{Spain, Chile}	{ Pontificia Univ Catolica Chile, Dept Mol Genet & Microbiol, Ave Libertador Bernardo OHiggins 340, Santiago 6513677, Chile;  UIB, Marine Microbiol Grp, Mediterranean Inst Adv Studies IMEDEA, CSIC, E-07190 Esporles, Spain;  Univ Concepcion, Dept Oceanog, Concepcion, Chile;  Univ Mayor, GEMA Ctr Gen Ecol & Environm, Camino La Piramide 5750, Santiago, Chile;  Ctr Climate & Resilience Res CR2, Santiago, Chile}	Temperature modulates Fischerella thermalis ecotypes in Porcelana Hot Spring	4
10.1016/j.erss.2018.08.004	{Chile}	{ Univ Chile, Energy Ctr, Santiago, Chile;  Univ Chile, Ctr Climate & Resilience Res, Santiago, Chile;  Univ Chile, Energy Ctr, Dept Elect Engn, Santiago, Chile}	Co-construction of energy solutions: Lessons learned from experiences in Chile	3
